type,price,pnl,time
close_sell,1.15166,-0.5199999999998539,2025-11-24 04:30:00
open_buy,1.15166,,2025-11-24 04:30:00
close_buy,1.15183,0.6800000000000139,2025-11-24 19:30:00
open_sell,1.15183,,2025-11-24 19:30:00
close_sell,1.15277,-0.900000000000123,2025-11-25 04:45:00
open_buy,1.15277,,2025-11-25 04:45:00
close_buy,1.15141,0.380000000000269,2025-11-25 07:30:00
open_sell,1.15141,,2025-11-25 07:30:00
close_sell,1.15302,0.26000000000037105,2025-11-25 11:15:00
open_buy,1.15302,,2025-11-25 11:15:00
close_buy,1.1565699999999999,-0.360000000000138,2025-11-26 03:00:00
open_sell,1.1565699999999999,,2025-11-26 03:00:00
close_sell,1.1584,-0.580000000000247,2025-11-26 05:00:00
open_buy,1.1584,,2025-11-26 05:00:00
close_buy,1.15707,-0.280000000000058,2025-11-26 13:15:00
open_sell,1.15707,,2025-11-26 13:15:00
close_sell,1.1587399999999999,-0.25999999999992696,2025-11-26 19:15:00
open_buy,1.1587399999999999,,2025-11-26 19:15:00
close_buy,1.1586,-0.17999999999984695,2025-11-27 09:30:00
open_sell,1.1586,,2025-11-27 09:30:00
close_sell,1.15993,-0.5199999999998539,2025-11-27 18:15:00
open_buy,1.15993,,2025-11-27 18:15:00
close_buy,1.15823,-0.7399999999999629,2025-11-28 03:45:00
open_sell,1.15823,,2025-11-28 03:45:00
close_sell,1.16008,-1.0599999999998388,2025-11-28 18:30:00
open_buy,1.16008,,2025-11-28 18:30:00
close_buy,1.15972,0.24000000000024005,2025-12-01 07:45:00
open_sell,1.15972,,2025-12-01 07:45:00
close_sell,1.16174,-0.5999999999999339,2025-12-01 10:15:00
open_buy,1.16174,,2025-12-01 10:15:00
close_buy,1.16084,-0.5599999999996719,2025-12-01 21:00:00
open_sell,1.16084,,2025-12-01 21:00:00
close_sell,1.16093,0.0,2025-12-02 07:45:00
open_buy,1.16093,,2025-12-02 07:45:00
close_buy,1.16131,-0.6599999999998829,2025-12-02 15:15:00
open_sell,1.16131,,2025-12-02 15:15:00
close_sell,1.1616900000000001,-0.500000000000167,2025-12-02 15:45:00
open_buy,1.1616900000000001,,2025-12-02 15:45:00
close_buy,1.16062,1.020000000000021,2025-12-02 19:30:00
open_sell,1.16062,,2025-12-02 19:30:00
close_sell,1.16219,0.3799999999998249,2025-12-02 23:00:00
open_buy,1.16219,,2025-12-02 23:00:00
close_buy,1.16642,0.42000000000008697,2025-12-04 03:00:00
open_sell,1.16642,,2025-12-04 03:00:00
close_sell,1.16777,-0.48000000000003595,2025-12-04 11:15:00
open_buy,1.16777,,2025-12-04 11:15:00
close_buy,1.16548,-0.6800000000000139,2025-12-04 19:00:00
open_sell,1.16548,,2025-12-04 19:00:00
close_sell,1.1651,0.23999999999979593,2025-12-05 06:30:00
open_buy,1.1651,,2025-12-05 06:30:00
close_buy,1.16454,-1.180000000000181,2025-12-05 14:15:00
open_sell,1.16454,,2025-12-05 14:15:00
close_sell,1.16509,-0.140000000000029,2025-12-08 04:30:00
open_buy,1.16509,,2025-12-08 04:30:00
